;LINE;COMP;TYPE;RPM;DIAMETER(IN);PITCH(IN);BLADE(nb);THRUST(LBF);POWER(HP);TORQUE(IN.LBF);Cp;Ct;AREA(m^2);THRUST(N);POWER(W);ANGLE;EFF;N.D
5318;5618.0;343.0;E;21000.0;5.0;3.0;2.0;1.02;0.12;0.37;0.05;0.12;0.01;4.539;89.484;0.6;58.787754;105000.0
5319;5619.0;343.0;E;22000.0;5.0;3.0;2.0;1.12;0.14;0.4;0.05;0.12;0.01;4.984;104.398;0.6;58.787754;110000.0
5320;8309.0;440.0;E;23000.0;8.0;4.0;2.0;9.42;2.83;7.76;0.09;0.14;0.03;41.919;2110.331;0.5;41.15613;184000.0
5321;5620.0;343.0;E;23000.0;5.0;3.0;2.0;1.23;0.16;0.44;0.05;0.12;0.01;5.4735;119.312;0.6;58.787754;115000.0
5322;9031.0;471.0;E;21000.0;9.0;4.5;2.0;12.54;3.96;11.88;0.09;0.14;0.04;55.803;2952.972;0.5;41.15613;189000.0
5323;5282.0;333.0;E;37000.0;4.0;4.0;3.0;3.21;1.11;1.89;0.27;0.29;0.01;14.2845;827.727;1.0;40.89952;148000.0
5324;5787.0;347.0;E;30000.0;5.0;4.0;3.0;4.95;1.73;3.64;0.26;0.28;0.01;22.0275;1290.061;0.8;40.294773;150000.0
5325;5621.0;343.0;E;24000.0;5.0;3.0;2.0;1.34;0.18;0.47;0.05;0.12;0.01;5.963;134.226;0.6;58.787754;120000.0
5326;5622.0;343.0;E;25000.0;5.0;3.0;2.0;1.46;0.2;0.51;0.05;0.12;0.01;6.497;149.14;0.6;58.787754;125000.0
5327;5283.0;333.0;E;38000.0;4.0;4.0;3.0;3.41;1.27;2.1;0.28;0.29;0.01;15.1745;947.039;1.0;39.438824;152000.0
5328;5206.0;331.0;E;41000.0;4.0;3.3;2.0;2.54;0.86;1.33;0.15;0.19;0.01;11.303;641.302;0.83;39.04129;164000.0
5329;5623.0;343.0;E;26000.0;5.0;3.0;2.0;1.58;0.23;0.56;0.05;0.12;0.01;7.031;171.511;0.6;58.787754;130000.0
5330;5624.0;343.0;E;26999.0;5.0;3.0;2.0;1.71;0.26;0.6;0.05;0.12;0.01;7.6095;193.882;0.6;58.787754;134995.0
5331;5788.0;347.0;E;31000.0;5.0;4.0;3.0;5.32;2.01;4.09;0.27;0.28;0.01;23.674;1498.857;0.8;38.802372;155000.0
5332;5204.0;331.0;E;39000.0;4.0;3.3;2.0;2.27;0.66;1.07;0.14;0.18;0.01;10.1015;492.162;0.83;38.57143;156000.0
5333;5205.0;331.0;E;40000.0;4.0;3.3;2.0;2.4;0.76;1.19;0.14;0.18;0.01;10.68;566.732;0.83;38.57143;160000.0
