TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*
SCORPION;?Scorpion SII-3020-780KV (V2);780;14;1.21;0.03;166;40;12;44.4;;;0.012242688;0.475;94.35405405;1480;42.31784494;94.36312906;0.014813652;0.489707517;;136.1621161;0.023995112;0.016417329
SCORPION;?Scorpion SII-3020-890KV (V2);890;14;1.42;0.02;166;45;12;44.4;;;0.010729547;0.468;94.88138138;2220;56.14623763;95.00574436;0.015235956;0.482829603;;143.7873225;0.014086929;0.017336714
SCORPION;?Scorpion SII-3020-1110KV (V2);1110;14;2.08;0.016;166;60;12;44.4;;;0.00860297;0.498;94.44612613;2775;75.97367965;94.59937444;0.017894177;0.516178194;;212.5146334;0.017954164;0.025623299
SCORPION;?Scorpion SII-3026-710KV (V2);710;14;1.56;0.022;205;60;12;44.4;;;0.013449714;0.786;94.50432432;2018.181818;56.11028102;94.516819;0.020981553;0.80698281;;199.6282082;0.012681777;0.024069558
SCORPION;?Scorpion SII-3026-890KV (V2);890;14;1.9;0.014;205;70;12;44.4;;;0.010729547;0.731;95.13841699;3171.428571;77.62547446;95.16460972;0.020386139;0.751068271;;172.4056087;0.009056986;0.020787276
SCORPION;?Scorpion SII-3026-1190KV (V2);1190;14;3.26;0.008;205;80;12;44.4;;;0.008024619;0.616;94.5422973;5550;134.5102227;95.21152351;0.026160258;0.641969518;;214.1051023;0.018775294;0.025815065
SCORPION;?Scorpion SII-3032-690KV (V2);690;14;2.71;0.022;275;60;12;44.4;;;0.01383956;0.793;92.64463964;2018.181818;73.95453149;92.80545183;0.037505208;0.830373616;;198.4718408;0.013097843;0.023930132
SCORPION;?Scorpion SII-3032-880KV (V2);880;14;3.12;0.012;275;70;12;44.4;;;0.010851473;0.726;93.73528958;3700;107.4430081;94.27659415;0.033856597;0.759603137;;71.58816979;0.04670982;0.008631524
SCORPION;?Scorpion SII-3008-1090KV (V2);1090;14;0.79;0.058;95;26;12;44.4;;;0.008760823;0.221;93.66834026;765.5172414;24.59184053;93.67830292;0.00692105;0.227781386;;77.66410517;0.032551904;0.009364111
SCORPION;?Scorpion SII-3008-1220KV (V2);1220;14;0.97;0.042;95;32;12;44.4;;;0.007827292;0.243;94.03347973;1057.142857;32.02231365;94.0334812;0.007592474;0.250473353;;101.7765252;0.044815448;0.012271392
SCORPION;?Scorpion SII-3014-830KV (V2);830;14;1.06;0.042;129;30;12;44.4;;;0.011505177;0.333;93.7290991;1057.142857;33.47493732;93.76717402;0.012195487;0.345155298;;107.4946406;0.026058651;0.012960836
SCORPION;?Scorpion SII-3014-1040KV (V2);1040;14;1.35;0.026;129;40;12;44.4;;;0.009182016;0.355;94.36171171;1707.692308;48.01442091;94.4557435;0.012395722;0.367280638;;105.5011714;0.019536563;0.012720479
SCORPION;?Scorpion SII-3014-1220KV (V2);1220;14;1.64;0.018;129;46;12;44.4;;;0.007827292;0.347;94.63640423;2466.666667;63.60293494;94.90949176;0.012836759;0.360055445;;384.7190882;0.019080591;0.046386322
SCORPION;?Scorpion SII-4020-420KV;420;14;0.91;0.032;288;70;12;44.4;;;0.02273642;1.571;93.72054054;1387.5;35.53343496;94.94364901;0.020690143;1.591549431;;365.8943962;0.012549204;0.044116592
SCORPION;?Scorpion SII-4020-540KV;540;14;1.22;0.02;288;85;12;44.4;;;0.017683883;1.482;94.79083201;2220;52.0422905;95.36646032;0.021574337;1.503130018;;352.1069397;0.009829344;0.042454212
SCORPION;?Scorpion SII-4020-630KV;630;14;1.54;0.015;288;95;12;44.4;;;0.015157614;1.417;95.22151494;2960;67.51592405;95.49014027;0.023342725;1.439973295;;503.2450794;0.019754658;0.060677229
SCORPION;?Scorpion SII-4025-330KV;330;14;0.74;0.037;353;75;12;44.4;;;0.028937262;2.149;92.825;1200;29.79932885;95.09511186;0.021413574;2.170294679;;436.6402596;0.014078346;0.052646557
SCORPION;?Scorpion SII-4025-440KV;440;14;1.1;0.025;353;85;12;44.4;;;0.021702947;1.821;93.98178325;1776;44.19954751;95.08451042;0.023873241;1.844750477;;434.5462661;0.010160847;0.05239408
SCORPION;?Scorpion SII-4025-520KV;520;14;1.4;0.016;353;100;12;44.4;;;0.018364032;1.811;95.04684685;2775;62.32976817;95.55821491;0.025709645;1.83640319;;564.3875056;0.028432887;0.068049289
SCORPION;?Scorpion SII-4035-250KV;250;14;0.69;0.037;450;65;12;44.4;;;0.038197186;2.456;93.57929487;1200;28.77498914;95.26166848;0.026356059;2.482817112;;440.5925493;0.024655103;0.053123093
SCORPION;?Scorpion SII-4035-330KV;330;10;1.41;0.031;435;65;12;44.4;;;0.028937262;1.84;93.39092689;1432.258065;44.93866788;93.82322656;0.04080154;1.880922055;;416.0052472;0.020461215;0.050158554
SCORPION;?Scorpion SII-4035-380KV;380;10;1.52;0.025;435;70;12;44.4;;;0.025129728;1.721;93.97271557;1776;51.95690522;94.23458275;0.038197186;1.75908095;;403.6418619;0.015343034;0.048667877
SCORPION;?Scorpion SII-4035-450KV;450;10;1.71;0.026;435;80;12;44.4;;;0.021220659;1.661;93.27795045;1707.692308;54.03844785;93.77130791;0.036287327;1.697652726;;669.0751662;0.027649869;0.080671682
SCORPION;Scorpion S-5028-220KV (F3A Limited Series);220;14;0.98;0.032;576;70;12;44.4;;;0.043405894;2.996;93.62558559;1387.5;36.87478813;94.75534585;0.042537776;3.03841255;;836.6224971;0.031906773;0.100873186
SCORPION;?Scorpion SII-5525-170KV;170;14;0.78;0.042;708;70;12;44.4;;;0.056172333;3.888;92.33787645;1057.142857;28.71535179;94.64114966;0.04381442;3.9320633;;864.9145435;0.019781962;0.104284413
SCORPION;?Scorpion SII-5525-195KV;210;14;1.11;0.026;708;90;12;44.4;;;0.045472841;4.042;93.5613964;1707.692308;43.537782;94.96598049;0.050474853;4.09255568;;834.0983222;0.02437242;0.100568842
